,Title,Area of flat,Room,Floor,year,Price
152,"2 kambarių butas Vilniuje, Pilaitėje, Vydūno g. ",50.21,2,3/9,1994,69 000 € (1 374 €/m²)
153,"3 kambarių butas Vilniuje, Naujamiestyje, A. Jakšto g. ",85.00,3,4,2006,370 000 € (4 353 €/m²)
154,"2 kambarių butas Vilniuje, Šiaurės miestelis ",47.68,2,4/5,1965,78 000 € (1 636 €/m²)
155,"3 kambarių butas Vilniuje, Senamiestyje, A. Jakšto g. ",85.00,3,4,2006,370 000 € (4 353 €/m²)
156,"2 kambarių butas Vilniuje, Žirmūnuose ",47.68,2,4/5,1965,78 000 € (1 636 €/m²)
157,"3 kambarių butas Kaune, Šilainiuose, Baltų pr. ",65.60,3,9/9,1991,79 800 € (1 216 €/m²)
158,"2 kambarių butas Šiauliuose, Centre, S. Šalkauskio g. ",44.48,2,2/5,1970,49 900 € (1 122 €/m²)
159,"2 kambarių butas Klaipėdoje, Alksnynėje, Taikos pr. ",47.00,2,1/9,,73 000 € (1 553 €/m²)
160,"2 kambarių butas Klaipėdoje, Debrecene, Debreceno g. ",53.00,2,1/9,,69 700 € (1 315 €/m²)
161,"2 kambarių butas Klaipėdoje, Alksnynėje, Taikos pr. ",61.00,2,2/5,,80 000 € (1 311 €/m²)
162,"2 kambarių butas Klaipėdoje, Varpuose, Taikos pr. ",65.00,2,7/22,,103 840 € (1 598 €/m²)
163,"3 kambarių butas Klaipėdoje, Varpuose, Varpų g. ",60.00,3,3/7,,115 000 € (1 917 €/m²)
164,"3 kambarių butas Klaipėdoje, Debrecene, Debreceno g. ",55.00,3,1/5,,67 000 € (1 218 €/m²)
165,"3 kambarių butas Klaipėdoje, Mažojo kaimelio, Žolynų g. ",77.00,3,2/4,,116 900 € (1 518 €/m²)
166,"2 kambarių butas Klaipėdoje, Bandužiuose, Mogiliovo g. ",54.00,2,5/5,,45 000 € (833 €/m²)
167,"1 kambario butas Vilniuje, Naujininkuose, Dariaus ir Girėno g. ",18.00,1,5/5,1970,29 500 € (1 639 €/m²)
168,"1 kambario butas Klaipėdoje, Kauno, Paryžiaus Komunos g. ",27.00,1,8/9,,35 500 € (1 315 €/m²)
169,"2 kambarių butas Šiauliuose, Dainiuose, Lyros g. ",50.00,2,8/9,1980,48 500 € (970 €/m²)
170,"3 kambarių butas Šiauliuose, Dainiuose, Gegužių g. ",65.35,3,4/5,1986,60 900 € (932 €/m²)
171,"3 kambarių butas Klaipėdoje, Melnragėje, Molo g. ",58.00,3,1/2,,85 000 € (1 466 €/m²)
172,"2 kambarių butas Palangoje, Mokyklos g. ",55.00,2,2/8,2010,150 000 € (2 727 €/m²)
173,"5 kambarių butas Vilniuje, Santariškėse, B. Dvariono g. ",129.41,5,3/3,2009,239 000 € (1 847 €/m²)
174,"2 kambarių butas Vilniuje, Naujoji Vilnia, Parko g. ",50.77,2,4/5,1985,76 900 € (1 515 €/m²)
175,"3 kambarių butas Vilniuje, Fabijoniškėse, L. Giros g. ",67.00,3,9/10,1992,88 000 € (1 313 €/m²)
176,"2 kambarių butas Palangoje, Vytauto g. ",51.00,2,8/8,1978,103 000 € (2 020 €/m²)
177,"2 kambarių butas Vilniuje, Užupyje, Manufaktūrų g. ",38.00,2,3,2020,120 000 € (3 158 €/m²)
178,"3 kambarių butas Panevėžys, Panevėžyje, Parko g. ",64.06,3,3/5,1979,45 970 € (718 €/m²)
179,"1 kambario butas Šventojoje, Mokyklos g. ",31.00,1,6/8,2017,92 113 € (2 971 €/m²)
180,"3 kambarių butas Vilniuje, Naujamiestyje ",65.93,3,8/12,1990,137 000 € (2 078 €/m²)
181,"4 kambarių butas Palangoje, Medvalakio g. ",77.00,4,4/4,1990,92 000 € (1 195 €/m²)
182,"2 kambarių butas Vanagupėje, Vytauto g. ",35.00,2,10/12,1978,75 000 € (2 143 €/m²)
183,"3 kambarių butas Mažeikių rajono sav., Mažeikiuose, Klaipėdos g. ",38.65,3,2/2,1955,23 500 € (608 €/m²)
